'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY DESCRIPTION','BODY SYSTEM'
'30121',"INTROVERTED PERSONALITY",'1','5'
'30122',"SCHIZOTYPAL PERSONALITY",'1','5'
'3013 ',"EXPLOSIVE PERSONALITY",'1','5'
'3014 ',"COMPULSIVE PERSONALITY",'1','5'
'30150',"HISTRIONIC PERSON NOS",'1','5'
'30151',"CHR FACTITIOUS ILLNESS",'1','5'
'30159',"HISTRIONIC PERSON NEC",'1','5'
'3016 ',"DEPENDENT PERSONALITY",'1','5'
'3017 ',"ANTISOCIAL PERSONALITY",'1','5'
'30181',"NARCISSISTIC PERSONALITY",'1','5'
'30182',"AVOIDANT PERSONALITY",'1','5'
'30183',"BORDERLINE PERSONALITY",'1','5'
'30184',"PASSIVE-AGGRESSIV PERSON",'1','5'
'30189',"PERSONALITY DISORDER NEC",'1','5'
'3019 ',"PERSONALITY DISORDER NOS",'1','5'
'3020 ',"HOMOSEXUALITY",'1','5'
'3021 ',"ZOOPHILIA",'1','5'
'3022 ',"PEDOPHILIA",'1','5'
'3023 ',"TRANSVESTISM",'1','5'
'3024 ',"EXHIBITIONISM",'1','5'
'30250',"TRANS-SEXUALISM NOS",'1','5'
'30251',"TRANS-SEXUALISM ASEXUAL",'1','5'
'30252',"TRANS-SEXUAL HOMOSEXUAL",'1','5'
'30253',"TRANS-SEX HETEROSEXUAL",'1','5'
'3026 ',"PSYCHOSEX IDENTITY DIS",'1','5'
'30270',"PSYCHOSEXUAL DYSFUNC NOS",'1','5'
'30271',"INHIBITED SEXUAL DESIRE",'1','5'
'30272',"INHIBITED SEX EXCITEMENT",'1','5'
'30273',"INHIBITED FEMALE ORGASM",'1','5'
'30274',"INHIBITED MALE ORGASM",'1','5'
'30275',"PREMATURE EJACULATION",'1','5'
'30276',"FUNCTIONAL DYSPAREUNIA",'1','5'
'30279',"PSYCHOSEXUAL DYSFUNC NEC",'1','5'
'30281',"FETISHISM",'1','5'
'30282',"VOYEURISM",'1','5'
'30283',"SEXUAL MASOCHISM",'1','5'
'30284',"SEXUAL SADISM",'1','5'
'30285',"GENDER IDENT DIS ADULT",'1','5'
'30289',"PSYCHOSEXUAL DIS NEC",'1','5'
'3029 ',"PSYCHOSEXUAL DIS NOS",'1','5'
'30300',"AC ALCOHOL INTOX-UNSPEC",'1','5'
'30301',"AC ALCOHOL INTOX-CONTIN",'1','5'
'30302',"AC ALCOHOL INTOX-EPISOD",'1','5'
'30303',"AC ALCOHOL INTOX-REMISS",'1','5'
'30390',"ALCOH DEP NEC/NOS-UNSPEC",'1','5'
'30391',"ALCOH DEP NEC/NOS-CONTIN",'1','5'
'30392',"ALCOH DEP NEC/NOS-EPISOD",'1','5'
'30393',"ALCOH DEP NEC/NOS-REMISS",'1','5'
'30400',"OPIOID DEPENDENCE-UNSPEC",'1','5'
'30401',"OPIOID DEPENDENCE-CONTIN",'1','5'
'30402',"OPIOID DEPENDENCE-EPISOD",'1','5'
'30403',"OPIOID DEPENDENCE-REMISS",'1','5'
'30410',"BARBITURAT DEPEND-UNSPEC",'1','5'
'30411',"BARBITURAT DEPEND-CONTIN",'1','5'
'30412',"BARBITURAT DEPEND-EPISOD",'1','5'
'30413',"BARBITURAT DEPEND-REMISS",'1','5'
'30420',"COCAINE DEPEND-UNSPEC",'1','5'
'30421',"COCAINE DEPEND-CONTIN",'1','5'
'30422',"COCAINE DEPEND-EPISODIC",'1','5'
'30423',"COCAINE DEPEND-REMISS",'1','5'
'30430',"CANNABIS DEPEND-UNSPEC",'1','5'
'30431',"CANNABIS DEPEND-CONTIN",'1','5'
'30432',"CANNABIS DEPEND-EPISODIC",'1','5'
'30433',"CANNABIS DEPEND-REMISS",'1','5'
'30440',"AMPHETAMIN DEPEND-UNSPEC",'1','5'
'30441',"AMPHETAMIN DEPEND-CONTIN",'1','5'
'30442',"AMPHETAMIN DEPEND-EPISOD",'1','5'
'30443',"AMPHETAMIN DEPEND-REMISS",'1','5'
'30450',"HALLUCINOGEN DEP-UNSPEC",'1','5'
'30451',"HALLUCINOGEN DEP-CONTIN",'1','5'
'30452',"HALLUCINOGEN DEP-EPISOD",'1','5'
'30453',"HALLUCINOGEN DEP-REMISS",'1','5'
'30460',"DRUG DEPEND NEC-UNSPEC",'1','5'
'30461',"DRUG DEPEND NEC-CONTIN",'1','5'
'30462',"DRUG DEPEND NEC-EPISODIC",'1','5'
'30463',"DRUG DEPEND NEC-IN REM",'1','5'
'30470',"OPIOID/OTHER DEP-UNSPEC",'1','5'
'30471',"OPIOID/OTHER DEP-CONTIN",'1','5'
'30472',"OPIOID/OTHER DEP-EPISOD",'1','5'
'30473',"OPIOID/OTHER DEP-REMISS",'1','5'
'30480',"COMB DRUG DEP NEC-UNSPEC",'1','5'
'30481',"COMB DRUG DEP NEC-CONTIN",'1','5'
'30482',"COMB DRUG DEP NEC-EPISOD",'1','5'
'30483',"COMB DRUG DEP NEC-REMISS",'1','5'
'30490',"DRUG DEPEND NOS-UNSPEC",'1','5'
'30491',"DRUG DEPEND NOS-CONTIN",'1','5'
'30492',"DRUG DEPEND NOS-EPISODIC",'1','5'
'30493',"DRUG DEPEND NOS-REMISS",'1','5'
'30500',"ALCOHOL ABUSE-UNSPEC",'1','5'
'30501',"ALCOHOL ABUSE-CONTINUOUS",'1','5'
'30502',"ALCOHOL ABUSE-EPISODIC",'1','5'
'30503',"ALCOHOL ABUSE-IN REMISS",'1','5'
'3051 ',"TOBACCO USE DISORDER (Begin 1994)",'1','5'
'30510',"TOBACCO ABUSE-UNSPEC  (End 1994)",'1','5'
'30511',"TOBACCO ABUSE-CONTINUOUS  (End 1994)",'1','5'
'30512',"TOBACCO ABUSE-EPISODIC  (End 1994)",'1','5'
'30513',"TOBACCO ABUSE-IN REMISS  (End 1994)",'1','5'
'30520',"CANNABIS ABUSE-UNSPEC",'1','5'
'30521',"CANNABIS ABUSE-CONTIN",'1','5'
'30522',"CANNABIS ABUSE-EPISODIC",'1','5'
'30523',"CANNABIS ABUSE-IN REMISS",'1','5'
'30530',"HALLUCINOG ABUSE-UNSPEC",'1','5'
'30531',"HALLUCINOG ABUSE-CONTIN",'1','5'
'30532',"HALLUCINOG ABUSE-EPISOD",'1','5'
'30533',"HALLUCINOG ABUSE-REMISS",'1','5'
'30540',"BARBITURATE ABUSE-UNSPEC",'1','5'
'30541',"BARBITURATE ABUSE-CONTIN",'1','5'
'30542',"BARBITURATE ABUSE-EPISOD",'1','5'
'30543',"BARBITURATE ABUSE-REMISS",'1','5'
'30550',"OPIOID ABUSE-UNSPEC",'1','5'
'30551',"OPIOID ABUSE-CONTINUOUS",'1','5'
'30552',"OPIOID ABUSE-EPISODIC",'1','5'
'30553',"OPIOID ABUSE-IN REMISS",'1','5'
'30560',"COCAINE ABUSE-UNSPEC",'1','5'
'30561',"COCAINE ABUSE-CONTINUOUS",'1','5'
'30562',"COCAINE ABUSE-EPISODIC",'1','5'
'30563',"COCAINE ABUSE-IN REMISS",'1','5'
'30570',"AMPHETAMINE ABUSE-UNSPEC",'1','5'
'30571',"AMPHETAMINE ABUSE-CONTIN",'1','5'
'30572',"AMPHETAMINE ABUSE-EPISOD",'1','5'
'30573',"AMPHETAMINE ABUSE-REMISS",'1','5'
'30580',"ANTIDEPRESS ABUSE-UNSPEC",'1','5'
'30581',"ANTIDEPRESS ABUSE-CONTIN",'1','5'
'30582',"ANTIDEPRESS ABUSE-EPISOD",'1','5'
'30583',"ANTIDEPRESS ABUSE-REMISS",'1','5'
'30590',"DRUG ABUSE NEC-UNSPEC",'1','5'
'30591',"DRUG ABUSE NEC-CONTIN",'1','5'
'30592',"DRUG ABUSE NEC-EPISODIC",'1','5'
'30593',"DRUG ABUSE NEC-IN REMISS",'1','5'
'3060 ',"PSYCHOGEN MUSCULSKEL DIS",'1','5'
'3061 ',"PSYCHOGENIC RESPIR DIS",'1','5'
'3062 ',"PSYCHOGEN CARDIOVASC DIS",'1','5'
'3063 ',"PSYCHOGENIC SKIN DISEASE",'1','5'
'3064 ',"PSYCHOGENIC GI DISEASE",'1','5'
'30650',"PSYCHOGENIC GU DIS NOS",'1','5'
'30651',"PSYCHOGENIC VAGINISMUS",'1','5'
'30652',"PSYCHOGENIC DYSMENORRHEA",'1','5'
'30653',"PSYCHOGENIC DYSURIA",'1','5'
'30659',"PSYCHOGENIC GU DIS NEC",'1','5'
'3066 ',"PSYCHOGEN ENDOCRINE DIS",'1','5'
'3067 ',"PSYCHOGENIC SENSORY DIS",'1','5'
'3068 ',"PSYCHOGENIC DISORDER NEC",'1','5'
'3069 ',"PSYCHOGENIC DISORDER NOS",'1','5'
'3070 ',"STAMMERING & STUTTERING",'1','5'
'3071 ',"ANOREXIA NERVOSA",'1','5'
'30720',"TIC DISORDER NOS",'1','5'
'30721',"TRANSIENT TIC CHILDHOOD",'1','5'
'30722',"CHRONIC MOTOR TIC DIS",'1','5'
'30723',"GILLES TOURETTE DISORDER",'1','5'
'3073 ',"STEREOTYPED MOVEMENTS",'1','5'
'30740',"NONORGANIC SLEEP DIS NOS",'1','5'
'30741',"TRANSIENT INSOMNIA",'0','5'
'30742',"PERSISTENT INSOMNIA",'1','5'
'30743',"TRANSIENT HYPERSOMNIA",'0','5'
'30744',"PERSISTENT HYPERSOMNIA",'1','5'
'30745',"DISRUPT SLEEP-WAKE CYCLE",'1','5'
'30746',"SOMNAMBULISM/NGHT TERROR",'1','5'
'30747',"SLEEP STAGE DYSFUNC NEC",'1','5'
'30748',"REPETIT SLEEP INTRUSION",'1','5'
'30749',"NONORGANIC SLEEP DIS NEC",'1','5'
'30750',"EATING DISORDER NOS",'1','5'
'30751',"BULIMIA",'1','5'
'30752',"PICA",'1','5'
'30753',"PSYCHOGENIC RUMINATION",'1','5'
'30754',"PSYCHOGENIC VOMITING",'1','5'
'30759',"EATING DISORDER NEC",'1','5'
'3076 ',"ENURESIS",'1','5'
'3077 ',"ENCOPRESIS",'1','5'
'30780',"PSYCHOGENIC PAIN NOS",'1','5'
'30781',"TENSION HEADACHE",'1','5'
'30789',"PSYCHOGENIC PAIN NEC",'1','5'
'3079 ',"SPECIAL SYMPTOM NEC/NOS",'1','5'
'3080 ',"STRESS REACT EMOTIONAL",'1','5'
'3081 ',"STRESS REACTION FUGUE",'1','5'
'3082 ',"STRESS REACT PSYCHOMOT",'1','5'
'3083 ',"ACUTE STRESS REACT NEC",'1','5'
'3084 ',"STRESS REACT MIXED DIS",'1','5'
'3089 ',"ACUTE STRESS REACT NOS",'1','5'
'3090 ',"BRIEF DEPRESSIVE REACT",'1','5'
'3091 ',"PROLONG DEPRESSIVE REACT",'1','5'
'30921',"SEPARATION ANXIETY",'1','5'
'30922',"EMANCIPATION DISORDER",'1','5'
'30923',"ACADEMIC/WORK INHIBITION",'1','5'
'30924',"ADJ REACT-ANXIOUS MOOD",'1','5'
'30928',"ADJ REACT-MIXED EMOTION",'1','5'
'30929',"ADJ REACT-EMOTION NEC",'1','5'
'3093 ',"ADJUST REACT-CONDUCT DIS",'1','5'
'3094 ',"ADJ REACT-EMOTION/CONDUC",'1','5'
'30981',"PROLONG POSTTRAUM STRESS",'1','5'
'30982',"ADJUST REACT-PHYS SYMPT",'1','5'
'30983',"ADJUST REACT-WITHDRAWAL",'1','5'
'30989',"ADJUSTMENT REACTION NEC",'1','5'
'3099 ',"ADJUSTMENT REACTION NOS",'1','5'
'3100 ',"FRONTAL LOBE SYNDROME",'1','5'
'3101 ',"ORGANIC PERSONALITY SYND",'1','5'
'3102 ',"POSTCONCUSSION SYNDROME",'1','5'
'3108 ',"NONPSYCHOT BRAIN SYN NEC (end 2011)",'1','5'
'31081',"Pseudobulbar affect (begin 2011)",'1','5'
'31089',"Nonpsych mntl disord NEC (begin 2011)",'1','5'
'3109 ',"NONPSYCHOT BRAIN SYN NOS",'1','5'
'311  ',"DEPRESSIVE DISORDER NEC",'1','5'
'31200',"UNSOCIAL AGGRESS-UNSPEC",'1','5'
'31201',"UNSOCIAL AGGRESSION-MILD",'1','5'
'31202',"UNSOCIAL AGGRESSION-MOD",'1','5'
'31203',"UNSOCIAL AGGRESS-SEVERE",'1','5'
'31210',"UNSOCIAL UNAGGRESS-UNSP",'1','5'
'31211',"UNSOCIAL UNAGGRESS-MILD",'1','5'
'31212',"UNSOCIAL UNAGGRESS-MOD",'1','5'
'31213',"UNSOCIAL UNAGGR-SEVERE",'1','5'
'31220',"SOCIAL CONDUCT DIS-UNSP",'1','5'
'31221',"SOCIAL CONDUCT DIS-MILD",'1','5'
'31222',"SOCIAL CONDUCT DIS-MOD",'1','5'
'31223',"SOCIAL CONDUCT DIS-SEV",'1','5'
'31230',"IMPULSE CONTROL DIS NOS",'1','5'
'31231',"PATHOLOGICAL GAMBLING",'1','5'
'31232',"KLEPTOMANIA",'1','5'
'31233',"PYROMANIA",'1','5'
'31234',"INTERMITT EXPLOSIVE DIS",'1','5'
'31235',"ISOLATED EXPLOSIVE DIS",'1','5'
'31239',"IMPULSE CONTROL DIS NEC",'1','5'
'3124 ',"MIX DIS CONDUCT/EMOTION",'1','5'
'3128 ',"OTHER CONDUCT DISTURB  (End 1994)",'1','5'
'31281',"CONDUCT DISORDER CHILD ONSET (Begin 1994)",'1','5'
'31282',"CONDUCT DISORDER ADOLESC ONSET (Begin 1994)",'1','5'
'31289',"OTHER CONDUCT DISORDER (Begin 1994)",'1','5'
'3129 ',"CONDUCT DISTURBANCE NOS",'1','5'
'3130 ',"OVERANXIOUS DISORDER",'1','5'
'3131 ',"MISERY & UNHAPPINESS DIS",'1','5'
'31321',"SHYNESS DISORDER-CHILD",'1','5'
'31322',"INTROVERTED DIS-CHILD",'1','5'
'31323',"ELECTIVE MUTISM",'1','5'
'3133 ',"RELATIONSHIP PROBLEMS",'1','5'
'31381',"OPPOSITIONAL DISORDER",'1','5'
'31382',"IDENTITY DISORDER",'1','5'
'31383',"ACADEMIC UNDERACHIEVMENT",'1','5'
'31389',"EMOTIONAL DIS CHILD NEC",'1','5'
'3139 ',"EMOTIONAL DIS CHILD NOS",'1','5'
'31400',"ATTN DEFIC NONHYPERACT",'1','5'
'31401',"ATTN DEFICIT W HYPERACT",'1','5'
'3141 ',"HYPERKINET W DEVEL DELAY",'1','5'
'3142 ',"HYPERKINETIC CONDUCT DIS",'1','5'
'3148 ',"OTHER HYPERKINETIC SYND",'1','5'
'3149 ',"HYPERKINETIC SYND NOS",'1','5'
'31500',"READING DISORDER NOS",'1','5'
'31501',"ALEXIA",'1','5'
'31502',"DEVELOPMENTAL DYSLEXIA",'1','5'
'31509',"READING DISORDER NEC",'1','5'
'3151 ',"ARITHMETICAL DISORDER",'1','5'
'3152 ',"OTH LEARNING DIFFICULTY",'1','5'
'31531',"DEVELOPMENT LANGUAGE DIS",'1','5'
'31532',"RECEPTIVE LANG DIS (Begin 1996)",'1','5'
'31534',"SPEECH DEL D/T HEAR LOSS (Begin 2007)",'1','5'
'31535',"Chldhd onset flncy disor (begin 2010)",'1','5'
'31539',"SPEECH/LANGUAGE DIS NEC",'1','5'
'3154 ',"COORDINATION DISORDER",'1','5'
'3155 ',"MIXED DEVELOPMENT DIS",'1','5'
'3158 ',"DEVELOPMENT DELAYS NEC",'1','5'
'3159 ',"DEVELOPMENT DELAY NOS",'1','5'
'316  ',"PSYCHIC FACTOR W OTH DIS",'1','5'
'317  ',"MILD MENTAL RETARDATION",'1','5'
'3180 ',"MOD MENTAL RETARDATION",'1','5'
'3181 ',"SEVERE MENTAL RETARDAT",'1','5'
'3182 ',"PROFOUND MENTAL RETARDAT",'1','5'
'319  ',"MENTAL RETARDATION NOS-",'1','5'
'3200 ',"HEMOPHILUS MENINGITIS",'0','6'
'3201 ',"PNEUMOCOCCAL MENINGITIS",'0','6'
'3202 ',"STREPTOCOCCAL MENINGITIS",'0','6'
'3203 ',"STAPHYLOCOCC MENINGITIS",'0','6'
'3207 ',"MENING IN OTH BACT DIS",'0','6'
'3208 ',"BACTERIAL MENINGITIS NEC (Begin 1980 End 1992)",'0','6'
'32081',"ANAEROBIC MENINGITIS (Begin 1992)",'0','6'
'32082',"GRAM NEG MENINGITIS NEC (Begin 1992)",'0','6'
'32089',"OTH BACTER MENINGITIS (Begin 1992)",'0','6'
'3209 ',"BACTERIAL MENINGITIS NOS",'0','6'
'3210 ',"CRYPTOCOCCAL MENINGITIS",'0','6'
'3211 ',"MENING IN OTH FUNGAL DIS",'0','6'
'3212 ',"MENING IN OTH VIRAL DIS",'0','6'
'3213 ',"TRYPANOSOMIASIS MENINGIT",'0','6'
'3214 ',"MENINGIT D/T SARCOIDOSIS",'0','6'
'3218 ',"MENING IN OTH NONBAC DIS",'0','6'
'3220 ',"NONPYOGENIC MENINGITIS",'0','6'
'3221 ',"EOSINOPHILIC MENINGITIS",'0','6'
'3222 ',"CHRONIC MENINGITIS",'0','6'
'3229 ',"MENINGITIS NOS",'0','6'
'3230 ',"ENCEPHALIT IN VIRAL DIS",'0','6'
'32301',"ENCEPH/ENCEPHMYE OTH DIS (Begin 2006)",'0','6'
'32302',"MYELITIS-OTH VIRAL DIS (Begin 2006)",'0','6'
'3231 ',"RICKETTSIAL ENCEPHALITIS",'0','6'
'3232 ',"PROTOZOAL ENCEPHALITIS",'0','6'
'3234 ',"OTH ENCEPHALIT D/T INFEC",'0','6'
'32341',"ENCEPH/MYELITIS-OTH INF (Begin 2006)",'0','6'
'32342',"MYELITIS D/T OTH INFECT (Begin 2006)",'0','6'
'3235 ',"POSTIMMUNIZAT ENCEPHALIT",'0','6'
'32351',"ENCEPH/MYEL FOLWG IMMUNE (Begin 2006)",'0','6'
'32352',"MYELITIS FOLLWG IMMUNE (Begin 2006)",'0','6'
'3236 ',"POSTINFECT ENCEPHALITIS",'0','6'
'32361',"INF AC DIS ENCEPHALOMYEL (Begin 2006)",'0','6'
'32362',"POSTINF ENCEPHALITIS NEC (Begin 2006)",'0','6'
'32363',"POSTINFECTIOUS MYELITIS (Begin 2006)",'0','6'
'3237 ',"TOXIC ENCEPHALITIS",'0','6'
'32371',"TOXIC ENCPH & ENCEPHLOMY (Begin 2006)",'0','6'
'32372',"TOXIC MYELITIS (Begin 2006)",'0','6'
'3238 ',"ENCEPHALITIS NEC",'0','6'
'32381',"ENCEPH & ENCEPHLALO NEC (Begin 2006)",'0','6'
'32382',"MYELITIS CAUSE NEC (Begin 2006)",'0','6'
'3239 ',"ENCEPHALITIS NOS",'0','6'
'3240 ',"INTRACRANIAL ABSCESS",'0','6'
'3241 ',"INTRASPINAL ABSCESS",'0','6'
'3249 ',"CNS ABSCESS NOS",'0','6'
'325  ',"PHLEBITIS INTRCRAN SINUS",'0','6'
'326  ',"LATE EFF CNS ABSCESS",'0','6'
'32700',"ORGANIC INSOMNIA NOS (Begin 2005)",'1','6'
'32701',"INSOMNIA IN OTHER DIS (Begin 2005)",'1','6'
'32702',"INSOMNIA DT MENTAL DISOR (Begin 2005)",'1','6'
'32709',"ORGANIC INSOMNIA NEC (Begin 2005)",'1','6'
'32710',"ORGANIC HYPERSOMNIA NOS (Begin 2005)",'1','6'
'32711',"IDIO HYPERSOM-LONG SLEEP (Begin 2005)",'1','6'
'32712',"IDIO HYPERSOM-NO LNG SLP (Begin 2005)",'1','6'
'32713',"RECURRENT HYPERSOMNIA (Begin 2005)",'1','6'
'32714',"HYPERSOMNIA IN OTHER DIS (Begin 2005)",'1','6'
'32715',"HYPERSOM DT MENTAL DISOR (Begin 2005)",'1','6'
'32719',"ORGANIC HYPERSOMNIA NEC (Begin 2005)",'1','6'
'32720',"ORGANIC SLEEP APNEA NOS (Begin 2005)",'1','6'
'32721',"PRIM CENTRAL SLEEP APNEA (Begin 2005)",'1','6'
'32722',"HIGH ALTITUDE BREATHING (Begin 2005)",'0','6'
'32723',"OBSTRUCTIVE SLEEP APNEA (Begin 2005)",'1','6'
'32724',"IDIOPATH SLEEP HYPOVENT (Begin 2005)",'1','6'
'32725',"CONG CNTRL HYPOVENT SYND (Begin 2005)",'1','6'
'32726',"SLEEP HYPOVENT OTH DIS (Begin 2005)",'1','6'
'32727',"CNTRL SLEEP APNEA OT DIS (Begin 2005)",'1','6'
'32729',"ORGANIC SLEEP APNEA NEC (Begin 2005)",'1','6'
'32730',"CIRCADIAN RHYM SLEEP NOS (Begin 2005)",'1','6'
'32731',"CIRCADIAN RHY-DELAY SLP (Begin 2005)",'1','6'
'32732',"CIRCADIAN RHY-ADVC SLEEP (Begin 2005)",'1','6'
'32733',"CIRCADIAN RHYM-IRREG SLP (Begin 2005)",'1','6'
'32734',"CIRCADIAN RHYM-FREE RUN (Begin 2005)",'1','6'
'32735',"CIRCADIAN RHYTHM-JETLAG (Begin 2005)",'0','6'
'32736',"CIRCADIAN RHY-SHIFT WORK (Begin 2005)",'1','6'
'32737',"CIRCADIAN RHYM OTH DIS (Begin 2005)",'1','6'
'32739',"CIRCADIAN RHYM SLEEP NEC (Begin 2005)",'1','6'
'32740',"ORGANIC PARASOMNIA NOS (Begin 2005)",'1','6'
'32741',"CONFUSIONAL AROUSALS (Begin 2005)",'1','6'
'32742',"REM SLEEP BEHAVIOR DIS (Begin 2005)",'1','6'
'32743',"RECURRNT SLEEP PARALYSIS (Begin 2005)",'1','6'
'32744',"PARASOMNIA OTH DISEASES (Begin 2005)",'1','6'
'32749',"ORGANIC PARASOMNIA NEC (Begin 2005)",'1','6'
'32751',"PERIODIC LIMB MOVEMENT (Begin 2005)",'1','6'
'32752',"SLEEP RELATED LEG CRAMPS (Begin 2005)",'1','6'
'32753',"SLEEP RELATED BRUXISM (Begin 2005)",'1','6'
'32759',"ORGANIC SLEEP MOVEMT NEC (Begin 2005)",'1','6'
'3278 ',"SLEEP ORGANIC DISORD NEC (Begin 2005)",'1','6'
'3300 ',"LEUKODYSTROPHY",'1','6'
'3301 ',"CEREBRAL LIPIDOSES",'1','6'
'3302 ',"CEREB DEGEN IN LIPIDOSIS",'1','6'
'3303 ',"CERB DEG CHLD IN OTH DIS",'1','6'
'3308 ',"CEREB DEGEN IN CHILD NEC",'1','6'
'3309 ',"CEREB DEGEN IN CHILD NOS",'1','6'
'3310 ',"'ALZHEIMER'S DISEASE'",'1','6'
'3311 ',"'PICK'S DISEASE'  (End 2003)",'1','6'
'33111',"PICKS DISEASE (Begin 2003)",'1','6'
'33119',"OTHER FRONTOTEMPORAL DEMENTI (Begin 2003)",'1','6'
'3312 ',"SENILE DEGENERAT BRAIN",'1','6'
'3313 ',"COMMUNICAT HYDROCEPHALUS",'1','6'
'3314 ',"OBSTRUCTIV HYDROCEPHALUS",'1','6'
'3315 ',"NORML PRESSURE HYDROCEPH (Begin 2007)",'1','6'
'3316 ',"Corticobasal degneration (begin 2011)",'1','6'
'3317 ',"CEREB DEGEN IN OTH DIS",'1','6'
'33181',"'REYE'S SYNDROME'",'1','6'
'33182',"DEMENTIA WITH LEWY BODIES (Begin 2003)",'1','6'
'33183',"MILD COGNITIVE IMPAIREMT (Begin 2006)",'1','6'
'33189',"CEREB DEGENERATION NEC",'1','6'
'3319 ',"CEREB DEGENERATION NOS",'1','6'
'3320 ',"PARALYSIS AGITANS",'1','6'
'3321 ',"SECONDARY PARKINSONISM",'1','6'
'3330 ',"DEGEN BASAL GANGLIA NEC",'1','6'
'3331 ',"TREMOR NEC",'1','6'
'3332 ',"MYOCLONUS",'1','6'
'3333 ',"TICS OF ORGANIC ORIGIN",'1','6'
'3334 ',"'HUNTINGTON'S CHOREA'",'1','6'
'3335 ',"CHOREA NEC",'1','6'
'3336 ',"IDIOPAT TORSION DYSTONIA",'1','6'
'3337 ',"SYMPTOM TORSION DYSTONIA",'1','6'
'33371',"ATHETOID CEREBRAL PALSY (Begin 2006)",'1','6'
'33372',"ACUTE DYSTONIA D/T DRUGS (Begin 2006)",'0','6'
'33379',"ACQ TORSION DYSTONIA NEC (Begin 2006)",'1','6'
'33381',"BLEPHAROSPASM",'1','6'
'33382',"OROFACIAL DYSKINESIA",'1','6'
'33383',"SPASMODIC TORTICOLLIS",'1','6'
'33384',"'ORGANIC WRITERS' CRAMP'",'1','6'
'33385',"SUBAC DYSKINESA D/T DRUG (Begin 2006)",'0','6'
'33389',"FRAGM TORSION DYSTON NEC",'1','6'
'33390',"EXTRAPYRAMIDAL DIS NOS",'1','6'
'33391',"STIFF-MAN SYNDROME",'1','6'
'33392',"NEUROLEPTIC MALIGNANT SYND (Begin 1994)",'1','6'
'33393',"BENIGN SHUDDERING ATTACKS (Begin 1994)",'1','6'
'33394',"RESTLESS LEGS SYNDROME (Begin 2006)",'1','6'
'33399',"EXTRAPYRAMIDAL DIS NEC",'1','6'
'3340 ',"'FRIEDREICH'S ATAXIA'",'1','6'
'3341 ',"HERED SPASTIC PARAPLEGIA",'1','6'
'3342 ',"PRIMARY CEREBELLAR DEGEN",'1','6'
'3343 ',"CEREBELLAR ATAXIA NEC",'1','6'
'3344 ',"CEREBEL ATAX IN OTH DIS",'1','6'
'3348 ',"SPINOCEREBELLAR DIS NEC",'1','6'
'3349 ',"SPINOCEREBELLAR DIS NOS",'1','6'
'3350 ',"WERDNIG-HOFFMANN DISEASE",'1','6'
'33510',"SPINAL MUSCL ATROPHY NOS",'1','6'
'33511',"KUGELBERG-WELANDER DIS",'1','6'
'33519',"SPINAL MUSCL ATROPHY NEC",'1','6'
'33520',"AMYOTROPHIC SCLEROSIS",'1','6'
'33521',"PROG MUSCULAR ATROPHY",'1','6'
'33522',"PROGRESSIVE BULBAR PALSY",'1','6'
'33523',"PSEUDOBULBAR PALSY",'1','6'
'33524',"PRIM LATERAL SCLEROSIS",'1','6'
'33529',"MOTOR NEURON DISEASE NEC",'1','6'
'3358 ',"ANT HORN CELL DIS NEC",'1','6'
'3359 ',"ANT HORN CELL DIS NOS",'1','6'
'3360 ',"SYRINGOMYELIA",'1','6'
'3361 ',"VASCULAR MYELOPATHIES",'1','6'
'3362 ',"COMB DEG CORD IN OTH DIS",'1','6'
'3363 ',"MYELOPATHY IN OTH DIS",'1','6'
'3368 ',"MYELOPATHY NEC",'1','6'
'3369 ',"SPINAL CORD DISEASE NOS",'1','6'
'3370 ',"IDIOPATH AUTO NEUROPATHY (end 2008)",'1','6'
'33700',"IDIO PERPH AUTO NEUR NOS (begin 2008)",'1','6'
'33701',"CAROTID SINUS SYNDROME (begin 2008)",'1','6'
'33709',"IDIO PERPH AUTO NEUR NEC (begin 2008)",'1','6'
'3371 ',"AUT NEUROPTHY IN OTH DIS",'1','6'
'33720',"REFLEX SYMPATH DYSTROPHY UNSPEC (Begin 1993)",'1','6'
'33721',"REFLEX SYMPATH DYSTROPHY UP LIMB (Begin 1993)",'1','6'
'33722',"REFLEX SYMPATH DYSTROPHY LO LIMB (Begin 1993)",'1','6'
'33729',"REFLEX SYMPATH DYSTR OTH SPEC SITE (Begin 1993)",'1','6'
'3373 ',"AUTONOMIC DYSREFLEXIA (Begin 1998)",'1','6'
'3379 ',"AUTONOMIC NERVE DIS NEC",'1','6'
'3380 ',"CENTRAL PAIN SYNDROME (Begin 2006)",'1','6'
'33811',"ACUTE PAIN DUE TO TRAUMA (Begin 2006)",'0','6'
'33812',"ACUTE POST-THORACOT PAIN (Begin 2006)",'0','6'
'33818',"ACUTE POSTOP PAIN NEC (Begin 2006)",'0','6'
'33819',"ACUTE PAIN NEC (Begin 2006)",'0','6'
'33821',"CHRONC PAIN D/T TRAUMA (Begin 2006)",'1','6'
'33822',"CHRON POST-THORACOT PAIN (Begin 2006)",'1','6'
'33828',"CHRONIC POSTOP PAIN NEC (Begin 2006)",'1','6'
'33829',"CHRONIC PAIN NEC (Begin 2006)",'1','6'
'3383 ',"NEOPLASM RELATED PAIN (Begin 2006)",'1','6'
